original_Line Code,original_Direction,original_Stop Code,original_Stop ID,original_Chinese Name,original_English Name,original_Sequence,lat,lon,formatted,name,street,postcode,suburb,city,county,state,country,country_code,confidence,attribution,attribution_license,attribution_url
610,1,SPW,560,水邊圍,Shui Pin Wai,22,22.44444954,114.0198573,"Shui Pin Wai, Castle Peak Road – Ping Shan, Fung Chi Tsuen, Yuen Long District, Hong Kong, China",Shui Pin Wai,Castle Peak Road – Ping Shan,,Fung Chi Tsuen,Yuen Long,Yuen Long District,Hong Kong,China,cn,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
610,1,FNR,570,豐年路,Fung Nin Road,23,22.4444754,114.0238187,"Fung Nin Road, Castle Peak Road – Yuen Long, Shui Tin Tsuen, Yuen Long District, Hong Kong, China",Fung Nin Road,Castle Peak Road – Yuen Long,,Shui Tin Tsuen,Yuen Long,Yuen Long District,Hong Kong,China,cn,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
610,1,HLR,580,康樂路,Hong Lok Road,24,22.44446132,114.0272155,"Hong Lok Road, Castle Peak Road – Yuen Long, Yuen Long Town Centre, Yuen Long District, Hong Kong, China",Hong Lok Road,Castle Peak Road – Yuen Long,,Yuen Long Town Centre,Yuen Long,Yuen Long District,Hong Kong,China,cn,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
610,1,TTR,590,大棠路,Tai Tong Road,25,22.44452049,114.0290158,"Tai Tong Road, Yuen Long Town Centre, Yuen Long District, Hong Kong, China",Tai Tong Road,Tai Tong Road,,Yuen Long Town Centre,Yuen Long,Yuen Long District,Hong Kong,China,cn,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
610,1,YLL,600,元朗,Yuen Long,26,22.44582699,114.0338147,"Yuen Long Kau Hui Road, Yuen Long San Hui, Yuen Long District, Hong Kong, China",Yuen Long,Yuen Long Kau Hui Road,,Yuen Long San Hui,Yuen Long,Yuen Long District,Hong Kong,China,cn,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
705,1,TSL,430,天水圍,Tin Shui Wai,1,22.44817155,114.004632,"Tin Shui Wai, Tsui Sing Road, Kiu Tau Wai, Yuen Long District, Hong Kong, China",Tin Shui Wai,Tsui Sing Road,,Kiu Tau Wai,Sheung Cheung Wai,Yuen Long District,Hong Kong,China,cn,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
705,1,TIT,435,天慈,Tin Tsz,2,22.45272188,114.0061281,"Tin Tsz, Tin Shing Road, Tin Shui Wai South, Yuen Long District, Hong Kong, China",Tin Tsz,Tin Shing Road,,Tin Shui Wai South,Tin Shui Wai,Yuen Long District,Hong Kong,China,cn,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
705,1,TWU,450,天湖,Tin Wu,3,22.45496589,114.005758,"Tin Wu, Tin Shing Road, Tin Shui Wai South, Yuen Long District, Hong Kong, China",Tin Wu,Tin Shing Road,,Tin Shui Wai South,Tin Shui Wai,Yuen Long District,Hong Kong,China,cn,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
705,1,GIN,455,銀座,Ginza,4,22.45758322,114.0049917,"Ginza, Kaigan-dori, 8-chome, Chuo, 105-7001, Japan",Ginza,Kaigan-dori,105-7001,8-chome,Chuo,,,Japan,jp,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
705,1,TWI,500,天榮,Tin Wing,5,22.45958497,114.0028303,"Tin Wing, Tin Shing Road, Tin Shui Wai South, Yuen Long District, Hong Kong, China",Tin Wing,Tin Shing Road,,Tin Shui Wai South,Tin Shui Wai,Yuen Long District,Hong Kong,China,cn,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
