original_Line Code,original_Direction,original_Station Code,original_Station ID,original_Chinese Name,original_name,original_Sequence,lat,lon,formatted,name,housenumber,street,postcode,district,suburb,county_code,city,county,state_code,state,country,country_code,confidence,attribution,attribution_license,attribution_url
TWL,DT,KWF,22,葵芳,Kwai Fong,4,22.35683368,114.1278178,"Kwai Fong, Kwai Yi Road, Ha Kwai Chung, Kwai Tsing District, Hong Kong, China",Kwai Fong,,Kwai Yi Road,,,Ha Kwai Chung,,Kwai Chung,Kwai Tsing District,,Hong Kong,China,cn,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
TWL,DT,LCK,19,茘枝角,Lai Chi Kok,7,22.3368797,114.1483207,"Lai Chi Kok, Cheung Sha Wan Road, Cheung Sha Wan, Hong Kong, China",Lai Chi Kok,,Cheung Sha Wan Road,,Sham Shui Po District,Cheung Sha Wan,,Kowloon,,,Hong Kong,China,cn,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
TWL,DT,CSW,18,長沙灣,Cheung Sha Wan,8,22.33561257,114.1559963,"Cheung Sha Wan, Tonkin Street, Cheung Sha Wan, Hong Kong, China",Cheung Sha Wan,,Tonkin Street,,Sham Shui Po District,Cheung Sha Wan,,Kowloon,,,Hong Kong,China,cn,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
TWL,DT,SSP,17,深水埗,Sham Shui Po,9,22.33077673,114.1622689,"Sham Shui Po, Cheung Sha Wan Road, Sham Shui Po, Hong Kong, China",Sham Shui Po,,Cheung Sha Wan Road,,Sham Shui Po District,Sham Shui Po,,Kowloon,,,Hong Kong,China,cn,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
TWL,DT,JOR,4,佐敦,Jordan,13,22.30479384,114.1716626,"Jordan River, Balqa, Jordan",Jordan River,,,,,,,,,,Balqa,Jordan,jo,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
TWL,DT,TST,3,尖沙咀,Tsim Sha Tsui,14,22.29757672,114.1722066,"Tsim Sha Tsui, Cameron Road, Tsim Sha Tsui, Hong Kong, China",Tsim Sha Tsui,,Cameron Road,,Yau Tsim Mong District,Tsim Sha Tsui,,Kowloon,,,Hong Kong,China,cn,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
SIL,UT,OCP,86,海洋公園,Ocean Park,2,22.24869847,114.1744449,"Ocean Park Hong Kong, Wong Chuk Hang Road, Wong Chuk Hang, Hong Kong, China",Ocean Park Hong Kong,,Wong Chuk Hang Road,,Southern District,Wong Chuk Hang,,Hong Kong Island,,,Hong Kong,China,cn,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
SIL,UT,WCH,87,黃竹坑,Wong Chuk Hang,3,22.24798496,114.1680253,"Wong Chuk Hang, Heung Yip Road, Wong Chuk Hang, Hong Kong, China",Wong Chuk Hang,,Heung Yip Road,,Southern District,Wong Chuk Hang,,Hong Kong Island,,,Hong Kong,China,cn,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
SIL,UT,LET,88,利東,Lei Tung,4,22.24192389,114.1561137,"Lei Tung, Yue On Court Road, Ap Lei Chau, Hong Kong, China",Lei Tung,,Yue On Court Road,,Southern District,Ap Lei Chau,,Hong Kong Island,,,Hong Kong,China,cn,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
SIL,UT,SOH,89,海怡半島,South Horizons,5,22.24286744,114.1487479,"South Horizons, Ap Lei Chau, Hong Kong Island, Southern District, China",South Horizons,,,,Southern District,Ap Lei Chau,,Hong Kong Island,,,Hong Kong,China,cn,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
